Engineering,2594,4.20,2674,4.30,2774,4.50,2926,4.80,3215,5.10
Construction,1824,2.90,1379,2.20,1188,1.90,1040,1.70,1166,1.90
Computing,2920,4.70,3288,5.40,3931,6.40,3904,6.40,4311,6.90
Science,4194,6.80,4029,6.60,4337,7.00,4570,7.50,4916,7.90
Agriculture and Veterinary,1431,2.30,1665,2.70,1862,3.00,1848,3.00,1881,3.00
Nursing,5541,8.90,5585,9.10,5775,9.30,5807,9.60,5490,8.80
Medicine,3755,6.00,3591,5.80,3719,6.00,3480,5.70,3276,5.30
Dentistry,347,0.60,298,0.50,295,0.50,287,0.50,282,0.45
Other Healthcare,3583,5.80,4068,6.60,4217,6.80,4415,7.30,4561,7.30
Arts and Humanities,15851,25.50,15395,25.00,14688,23.70,14424,23.70,14651,23.50
Services,1907,3.10,1930,3.10,2095,3.40,1986,3.30,1825,2.90
Education,6608,10.60,6652,10.80,6081,9.80,5558,9.20,5468,8.80
Business and Law,9216,14.80,8547,13.90,8509,13.80,8461,13.90,9368,15.00
Social Services,2311,3.70,2367,3.90,2375,3.80,2033,3.30,1931,3.10
