AL001,Business Studies,100,N/A
AL002,Business Studies (Cavan),AQA,N/A
AL003,Office info Systems,100,N/A
AL004,Office Info Systems (Cavan),105,N/A
AL005,Office Info Systems ( Greendale ),110,N/A
AL006,Social Studies,300,N/A
AL007,Front Office Admin,AQA,N/A
AL008,Hotel/Catering Supervision,AQA,N/A
AL009,Plastics Engineering,115,N/A
AL010,Mechanical Engineering,AQA,N/A
AL011,Electronics & Computer Engineering,125,N/A
AL012,Electronic Engineering,AQA,N/A
AL013,Civil Engineering,100,N/A
AL014,Mineral Engineering,135,N/A
AL015,Construction Studies,AQA,N/A
AL016,Science (Applied Biology ),AQA,N/A
AL017,Science ( Applied Chemistry ),200,N/A
AL018,Hotel/Catering Management.,110,N/A
AL019,Professional Accountancy,290,N/A
AL020,Communications Design,530#,N/A
AL021,Science (Cell & Molecular Biology),205,N/A
AL022,Computing,150,N/A
AL023,Accounting Technician,AQA,N/A
AL024,Engineering - Mechatronics,190,N/A
AL025,Equine Studies,AQA,N/A
AL026,Humanities (Languages & Bus Admin.),120,N/A
AL027,Business Studies (Sport & Recreatio,240,N/A
AL029,ACCA Accounting Technician Program,105,N/A
PC402,Humanities ( Philosophy and Theolog,110,N/A
PC404,Social Care,290,N/A
CW001,Physiology/Health,395*,N/A
CW005,Mechanical Engineering,110,N/A
CW006,Electronic Engineering,110,N/A
CW007,Civil Engineering,115,N/A
CW008,Construction Studies,AQA,N/A
CW009,Architectural Graphics,180,N/A
CW011,Business Studies,150,N/A
CW012,Office Information Systems,140,N/A
CW015,Industrial Design,150,N/A
CW019,Computing Applics. & Comm Progammin,200,N/A
CW020,Computing ( Networking & Opt Comm),150,N/A
CW022,Science,90,N/A
CW023,Accounting & Information Systems,160,N/A
CW024,Electronics & Computer Technology,AQA,N/A
CW025,Electronics & Communic Systems,85,N/A
CW044,Computing with French,N/A,N/A
CW045,Computing with German,888,N/A
CW093,Business Studies Wexford,85,N/A
CW094,Computing Wexford,80,N/A
CW095,Office Info Sys Wexford,125,N/A
CW099,Acct & Mangt Studies,200,N/A
CR001,Physics/Instrumentation,300,N/A
CR006,Applied Biology,270,N/A
CR007,Applied Chemistry,220,N/A
CR010,Agriculture,240,N/A
CR016,Computing,355,N/A
CR021,Business Studies,355,N/A
CR022,Office Info Systems,355,N/A
CR023,Business Studies - Accounting,275,N/A
CR031,Social Studies,360,N/A
CR032,Recreation/Leisure,355,N/A
CR036,Design Communication,375,N/A
CR041,Tourism,355,N/A
CR042,Hotel/Catering Superv.,280*,N/A
CR046,Auto Technology,220,N/A
CR051,Civil Engineering,370,N/A
CR052,Construction Studies,285,N/A
CR053,Interior Architectural Technology,300,N/A
CR061,Electronic Engineering,215,N/A
CR062,Electrical Engineering,240,N/A
CR071,Mechanical Engineering,270,N/A
CR072,Building & Industrial Services,270,N/A
CR075,Biomedical Engineering,350,N/A
CR085,Med Lab Science,425,N/A
CR090,Architectural Technology,390,N/A
CR094,Nautical Science,AQA#,N/A
CR095,Marine Engineering,130#,N/A
CR201,Fine Art,710#,N/A
CR202,Ceramic Products,410#,N/A
AC100,Humanities,AQA,N/A
DB513,Business Studies,AQA,N/A
DB522,Business Studies ( Accounting ),AQA,N/A
DB533,Business Studies ( Marketing ),AQA,N/A
DB542,Business Studies ( Computer Applics,AQA,N/A
DB563,Arts in Cultural Studies,AQA,N/A
DT102,Architectural Technology,428#,N/A
DT114,Construction Technology,350,N/A
DT116,Auctioneering Valuation & Estate Ag,360,N/A
DT120,Preliminary Engineering,270,N/A
DT125,Technology - Integrated Maintenance,AQA,N/A
DT126,Civil Engineering Technician,350,N/A
DT127,Building Services Engineering Techn,270,N/A
DT128,Mechanical Engineering Technician,320,N/A
DT129,Manutronics Automation,150,N/A
DT150,Transport Engineering/Management,200,N/A
DT171,Buildings Maintenance Technician,145,N/A
DT200,Baking Technology and  Management,AQA,N/A
DT214,Medical Laboratory Sciences,330,N/A
DT231,Electrical and Control Engineering,155,N/A
DT244,Electrical Services Engineering Tec,AQA,N/A
DT266,Computer Science,335,N/A
DT273,Applied Science,AQA,N/A
DT287,Applied Electronics,255,N/A
DT289,Electronics Technician,245,N/A
DT315,Business Studies,365*,N/A
DT402,Hotel and Catering Management,225,N/A
DT410,Travel and Tourism,335,N/A
DT440,Hotel and Catering Supervision,AQA,N/A
DT444,Culinary Arts (Catering for Health),200,N/A
DT467,Social Care Practice,360,N/A
DT490,Science (Food/Pharmaceutical Tech.),200,N/A
DT503,Marketing,370,N/A
DT515,Design - Display,535#,N/A
DT516,Design Technology,550#,N/A
DT517,Media Production,420,N/A
DT521,Management,335,N/A
DT522,Retail Marketing,330,N/A
DT523,Retail Enterprise Management,315,N/A
DT525,Security Management,215,N/A
