AL801,Software Development or Cloud Computin ,280,,,
AL820,Mechanical and Polymer Engineering ,315,,,
AL830,General Nursing ,425,420,,
AL831,Mature Applicants General Nursing ,,,,
AL832,Psychiatric Nursing ,390,,,
AL833,Mature Applicants Psychiatric Nursing ,,,,
AL836,Health Science with Nutrition ,365,,,
AL837,Sports Science with Exercise Physiology ,370,,,
AL838,Biotechnology ,285,,,
AL840,Pharmaceutical Science ,260,,,
AL841,Athletic and Rehabilitation Therapy ,400,,,
AL842,Bioveterinary Science ,335,325,,
AL850,Business ,300,,,
AL851,Business and Law ,300,,,
AL852,Accounting ,305,,,
AL854,Business Psychology ,300,,,
AL860,Social Care Practice ,310,,,
,,,,,
,,,,,
,,,,,
PC405,Citizenship and Community Studies ,,,,
PC410,Humanities ,300,183,,
PC411,English and History ,270,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
CW008,Applied Humanities ,275,,,
CW018,Business or Digital Marketing ,250,,,
CW028,Early Childhood Education and Care ,260,,,
CW038,Art Portfolio ,,,,
CW068,Applied Social Social Care ,280,,,
CW088,Visual Communications and Design ,250,,,
CW098,Culture and Heritage Studies ,230,,,
CW108,Biosciences with Bioforensics or Biopharmaceutical ,300,,,
CW168,Environmental Science ,320,,,
CW178,Sport Science ,420,,,
CW188,Sports Rehabilitation and Athletic Therapy ,445,,,
CW198,Strength and Conditioning ,390,,,
CW208,Computer Games Development ,315,,,
CW238,Software Development ,320,,,
CW248,Computer Systems Management ,305,,,
CW438,Quantity Surveying ,260,,,
CW448,Facilities and Energy Management ,255,,,
CW468,Architectural Technology ,260,,,
CW478,Civil Engineering ,340,,,
CW548,Mechanical Engineering ,280,,,
CW558,Electronic Systems ,290,,,
CW568,Aero Engineering ,380,,,
CW578,TV and Media Production ,390,365,,
CW708,Law LLB ,290,,,
CW728,Product Design Innovation ,300,,,
CW748,Early Childhood Education and Care ,285,,,
CW758,Applied Social Studies Social ,300,,,
CW788,Youth and Community Work Interview ,,,,
CW808,Media and Public Relations ,270,,,
CW838,Business Marketing ,280,,,
CW858,Sport Management and Coaching ,,,,
CW908,Business Management ,283,,,
CW928,Business Human Resource Management ,280,,,
CW938,Business with Law ,285,,,
CW948,Accounting ,295,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
CR105,Chemical and Biopharmaceutical Engineering ,425,,,
CR106,Software Development ,365,,,
CR108,Mechanical Engineering ,415,,,
CR109,Structural Engineering ,420,,,
CR112,Multimedia ,370,,,
CR116,Software Development and Computer Networking ,335,315,,
CR121,Music at CIT Cork School of Music ,,,,
CR125,Popular Electric Bass Guitar at CIT School ,,,,
CR126,Popular Drums at CIT Cork School of Music ,,,,
CR127,Popular Electric Guitar at CIT Cork School ,,,,
CR128,Popular Keyboards at CIT Cork School of Mu ,,,,
CR129,Popular Voice at CIT Cork School of Music ,,,,
CR150,Business Information Systems ,355,,,
CR210,Contemporary Applied Art Glass Textiles ,,,,
CR220,Fine Art at CIT Crawford College of Art and Design ,,,,
CR305,Physical Sciences ,325,,,
CR310,IT Management ,310,300,,
CR312,Web Development ,330,320,,
CR320,Biomedical Science Joint CIT and UCC programme ,,,,
CR325,Pharmaceutical Biotechnology ,350,,,
CR330,Herbal Science ,330,,,
CR333,Nutrition and Health Science ,375,,,
CR335,Common Entry Biological Sciences ,395,,,
CR340,Analytical Chemistry with Quality Assurance ,300,,,
CR360,Instrument Engineering ,300,,,
CR365,Environmental Science and Sustainable Technology ,300,,,
CR400,Accounting ,310,,,
CR420,Marketing ,305,,,
CR425,International Business with Language ,290,,,
CR500,Engineering ,390,,,
CR510,Sustainable Energy Engineering ,300,,,
CR520,Biomedical Engineering ,435,,,
CR560,Architectural Technology ,290,,,
CR565,Interior Architecture ,300,,,
CR570,Quantity Surveying ,285,,,
CR572,Construction Management ,240,,,
CR580,Electrical Engineering ,315,,,
CR590,Electronic Engineering ,300,,,
CR600,Visual Communications ,,,,
CR660,Tourism ,290,265,,
CR700,Theatre and Drama Studies at CIT Cork School of Mu ,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
CK101,Arts ,350,,,
CK102,Social Science ,435,,,
CK104,Arts with Years or ,4or Intl Pa ,,,
CK105,Film and Screen Media ,3years or ,4years P ,,
CK106,Applied Psychology ,505,,,
CK107,Geography and Archaeology ,3years or ,4years ,340,
CK108,Arts International ,4yrs with subject groupings ,475,,
CK109,English ,3years or ,4years Pathwa ,,
CK110,World Languages ,495,,,
CK111,Early Years and Childhood Studies ,390,,,
CK112,Drama and Theatre Studies ,3years or ,4years ,,
CK113,Criminology ,3years or ,4years Pa ,430,
CK114,Social Science Community Mature A ,,,,
CK115,Social Work Mature Applicants only ,,,,
CK116,Sports Studies and Physical Education ,500,,,
CK117,Economics Transformational ,3,400,,
CK118,Digital Humanities and IT ,3or ,4or ,380,
CK201,Commerce ,455,,,
CK202,Accounting ,465,,,
CK203,Business Information Systems ,445,,,
CK204,Finance ,505,,,
CK205,Commerce with French ,480,,,
CK206,Commerce with German ,490,,,
CK207,Commerce with Italian ,415,,,
CK208,Commerce with Hispanic Studies ,440,,,
CK209,Commerce with Irish ,495,,,
CK210,Government ,340,,,
CK211,Commerce with Chinese Studies ,415,,,
CK301,Law ,490,,,
CK302,Law and French ,530,,,
CK304,Law and Irish ,510,,,
CK305,Law ,525,,,
CK306,Law ,545,,,
CK401,Computer Science ,440,,,
CK402,Biological and Chemical Sciences ,470,,,
CK404,Biological Earth and Environmental Sciences ,435,,,
CK405,Genetics ,455,,,
CK406,Chemical Sciences ,455,445,,
CK407,Mathematical Sciences ,550,,,
CK408,Physics and Astrophysics ,505,,,
CK502,Food Marketing and Entrepreneurship ,460,,,
CK504,Nutritional Sciences ,510,505,,
CK505,Food Science ,460,,,
CK506,International Development and Food Policy ,375,,,
CK600,Engineering ,415,,,
CK606,Architecture Joint UCC and CIT programme ,440,,,
CK701,Medicine ,,,,
CK702,Dentistry ,,,,
CK703,Pharmacy ,555,,,
CK704,Occupational Therapy ,540,535,,
CK705,Speech and Language Therapy ,510,,,
CK706,Public Health ,430,,,
CK710,General Nursing ,,,,
CK711,Mature Applicants General Nursing ,,,,
CK712,and General Nursing ,,,,
CK713,Mature Applicants and General Nursing ,,,,
CK720,Mental Health Nursing ,450,,,
CK721,Mature Applicants Mental Health Nursing ,,,,
CK730,Intellectual Disability Nursing ,435,,,
CK731,Mature Applicants Intellectual Disability Nursing ,,,,
CK740,Midwifery ,,,,
CK741,Mature Applicants Midwifery ,,,,
CK791,Medicine ,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
AC120,International Business ,270,,,
AC137,Liberal Arts ,280,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
CT125,Information Technology ,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
CE001,Education Primary Teaching ,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
CM001,Education Primary Teaching ,465,,,
CM002,Education Primary Teaching Gaeltacht Applicant ,425,,,
CM010,Education Studies ,320,315,,
CM020,Early Childhood Education ,320,310,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
DB500,Computing ,285,240,,
DB512,Business Studies ,255,255,,
DB514,Business Studies ,295,200,,
DB515,Business Studies Resource ,255,,,
DB516,Financial Services ,260,,,
DB517,Marketing ,265,235,,
DB518,Marketing ,270,200,,
DB520,Business Studies work ,267,267,,
DB521,Accounting and Finance ,280,280,,
DB524,Business Information Systems ,385,,,
DB525,Marketing Media and Cloud ,315,,,
DB526,Business Information Systems ,345,,,
DB531,Marketing ,280,280,,
DB561,Arts ,255,225,,
DB562,Psychology ,260,230,,
DB565,Journalism ,250,225,,
DB566,Social Science ,255,167,,
DB567,Film ,255,205,,
DB568,Law ,240,230,,
DB569,Business ,290,290,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
DC001,Education Early Childhood Education ,380,,,
DC002,Education Primary Teaching ,470,,,
DC003,Education Primary Teaching Gaeltacht Applicant ,430,,,
DC009,Joint Honours Humanities ,390,,,
DC010,Post Primary Teacher Education Religious Ed and ,380,,,
DC011,Post Primary Teacher Education Religious Ed and ,370,,,
DC012,Post Primary Teacher Education Religious Ed and ,,,,
DC110,Business Studies International ,465,,,
DC111,Business Studies ,465,,,
DC112,Global Business ,500,,,
DC113,Global Business ,465,,,
DC114,Global Business ,500,,,
DC115,Accounting and Finance ,475,,,
DC116,Global Business ,580,,,
DC117,Aviation Management Aviation Mgmt with Pilot Stu ,455,,,
DC118,agus Gaeilge Business and Irish ,340,,,
DC119,Global Business ,570,,,
DC120,Enterprise Computing ,370,,,
DC121,Computer Applications ,400,,,
DC122,Computational and Software Develop ,,,,
DC126,Actuarial Mathematics ,535,,,
DC127,Actuarial Financial and Mathematical ,500,,,
DC131,Communication Studies ,420,,,
DC132,Journalism ,435,,,
DC133,Multimedia ,445,,,
DC155,Applied Language and Translation Studies ,375,,,
DC161,Analytical Science ,460,,,
DC162,Chemical and Pharmaceutical Sciences ,485,,,
DC166,Environmental Science and Health ,435,,,
DC167,Physics with Astronomy ,440,,,
DC168,Genetics and Cell Biology ,475,,,
DC171,Applied Physics ,410,,,
DC173,Physics with Biomedical Sciences ,435,,,
DC181,Biotechnology ,470,,,
DC190,Electronic and Computer Engineering ,415,,,
DC193,Mechatronic Engineering ,400,,,
DC195,Mechanical and Manufacturing Engineering ,405,,,
DC197,Biomedical Engineering ,400,,,
DC200,Common Entry into Engineering Entry ,390,,,
DC201,Common Entry into Science ,470,,,
DC202,Sport Science and Health ,500,,,
DC203,Science Education ,435,,,
DC204,Athletic Therapy and Training ,505,,,
DC205,Physical Education with Biology ,495,,,
DC206,Physical Education with Mathematics ,500,,,
DC208,Psychology ,515,,,
DC209,Health and Society ,435,,,
DC215,General Nursing ,,,,
DC216,Psychiatric Nursing ,405,,,
DC217,Intellectual Disability Nursing ,410,,,
DC218,and General Nursing ,490,,,
DC225,Mature Applicants General Nursing ,,,,
DC226,Mature Applicants Psychiatric Nursing ,,,,
DC227,Mature Applicants Intellectual Disability Nursing ,,,,
DC228,Mature Applicants and General Nursing ,,,,
DC230,Politics and Law ,400,,,
DC231,International Relations ,380,,,
DC232,Law and Society ,435,,,
DC235,Education and or Flexible Learnin ,315,,,
DC238,Contemporary Culture and Society ,330,,,
DC239,Gaeilge agus and Journalism ,415,,,
DC240,Innovation and Technology ,470,,,
DC291,Joint Honours Media Studies ,395,,,
DC292,Joint Honours Law ,395,,,
DC293,Joint Honours International Languages ,405,,,
DC294,Joint Honours Gaeilge ,385,,,
DC295,Joint Honours Politics ,385,,,
DC296,Joint Honours World Cultures ,385,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
DT001,Product Design ,415,,,
DT021,Engineering Yea ,506,,,
DT023,Manufacturing and Design Engineering ,390,,,
DT028,Transport Operations and Technology ,275,,,
DT066,Engineering ,380,,,
DT081,Computer and Communications Engineering ,465,,,
DT101,Architecture ,,,,
DT106,Planning and Environmental Management ,280,270,,
DT110,Property Economics ,330,,,
DT111,Quantity Surveying and Construction Economics ,330,,,
DT112,Geomatics and ,315,,,
DT117,Construction Management ,315,,,
DT175,Architectural Technology ,335,,,
DT201,Science ,460,,,
DT203,Forensic and Environmental Chemistry ,325,,,
DT204,Biomedical Science ,500,,,
DT205,Mathematical Sciences ,300,,,
DT211,Computing ,355,,,
DT220,Industrial Mathematics ,285,240,,
DT221,Physics with Energy and Environment ,340,,,
DT222,Physics Technology ,345,,,
DT223,Human Nutrition and Dietetics ,,,,
DT224,Optometry ,480,,,
DT225,Public Health Nutrition ,405,,,
DT227,Science with Nanotechnology ,325,,,
DT228,Computer Science ,425,,,
DT229,Clinical Measurement Science ,465,,,
DT235,Physics with Medical Physics and Bioengineering ,330,,,
DT282,Computer Science ,365,,,
DT299,Chemical Sciences with Medicinal Chemistry ,380,,,
DT321,Business and Law ,465,,,
DT341,Marketing ,410,,,
DT343,Retail and Services Management ,330,,,
DT354,Business Computing ,380,,,
DT358,Logistics and Supply Chain Management ,300,,,
DT365,Business and Management ,445,,,
DT366,Accounting and Finance ,440,,,
DT398,Human Resource Management ,385,,,
DT399,Economics and Finance ,440,,,
DT401,International Hospitality Management ,310,,,
DT407,Culinary Arts ,350,,,
DT412,Tourism Marketing ,295,,,
DT413,Event Management ,370,,,
DT416,Culinary Entrepreneurship ,310,,,
DT417,Bar Studies and ,290,,,
DT420,Nutraceuticals in Health and Nutrition ,430,,,
DT421,Food Innovation ,410,,,
DT422,Pharmaceutical Healthcare ,395,,,
DT491,Environmental Health ,340,,,
DT501,Music ,,,,
DT504,Film and Broadcasting ,430,,,
DT505,Film and Broadcasting with a Language ,405,,,
DT506,Commercial Modern Music ,,,,
DT508,Games Design ,375,,,
DT517,English Studies and Languages ,330,,,
DT518,Languages and International Tourism ,315,,,
DT519,Languages and International Tourism ,315,,,
DT520,Languages and International Tourism ,345,,,
DT529,Drama ,,,,
DT532,Law ,420,,,
DT533,Visual and Critical Studies ,340,,,
DT544,Design Interior and Furniture ,,,,
DT545,Design Visual Communication ,,,,
DT546,Fine Art ,,,,
DT553,Journalism with a Language ,330,,,
DT555,International Business and Languages ,440,,,
DT556,International Business and Languages ,405,,,
DT557,International Business and Languages ,415,,,
DT559,Photography ,,,,
DT564,International Business and Languages ,345,,,
DT565,Chinese and International Business ,375,,,
DT571,Social Care ,400,,,
DT572,Early Childhood Education ,380,,,
DT582,Journalism ,380,,,
DT596,Print and Digital Media Technology Management ,285,245,,
DT597,Creative and Cultural Industries ,315,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
DL821,English Media and Cultural Studies ,245,210,,
DL822,Business Studies and Arts Management ,225,225,,
DL823,Business Studies Entrepreneurship and Management ,235,235,,
DL825,Applied Psychology ,380,,,
DL826,Visual Communication Design ,,,,
DL827,Art ,,,,
DL828,Three Dimensional Design and Digital ,,,,
DL829,Design for Stage and Screen ,,,,
DL830,Design for Stage and Screen ,,,,
DL831,Design for Stage and Screen ,,,,
DL832,Animation ,,,,
DL833,Photography ,,,,
DL834,Film and Television Production ,,,,
DL835,Creative Media Technologies ,250,250,,
DL836,Creative Computing ,230,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
GC200,Business Studies ,310,,,
GC203,Law ,,,,
GC230,Computing Science ,275,245,,
GC300,Business Studies ,270,270,,
